ErrorID,hrResult,ErrorLevel,MarkDelete,ErrorMsg
301,-2147218424,2,0,The configuration file for the application contains invalid information. Reinstall the application.
302,-2147218423,2,0,The configuration file type for the application is not recognized. Reinstall the application.
303,-2147218422,2,0,The configuration file column data type for the application is not recognized. Reinstall the application.
304,-2147218421,2,0,The noise word file cannot be created. This error is obsolete and should no longer be reported.  Call Microsoft Product Support.
305,-2147218420,2,0,There was an error writing to the temporary noise word file. This error is obsolete and should no longer be reported.  Call Microsoft Product Support.
306,-2147218419,2,0,The specified column name already exists. The application's configuration was corrupted.  Reinstall the application.
307,-2147218418,2,0,The value for the attribute is not valid. The application's configuration was corrupted.  Reinstall the application.
308,-2147218417,2,0,The property set GUID is not valid. The application's configuration was corrupted.  Reinstall the application.
309,-2147218416,2,0,No more columns.  This is an internal error code and should not be reported to users.  Call Microsoft Product Support.
310,-2147218415,2,0,"The system cannot write to the configuration file, because it was modified since it was last read. Stop and restart the search service.  If this problem persists, reinstall search."
311,-2147218414,2,0,The specified column name is not valid. The application's configuration has been corrupted.  Reinstall the application.
312,-2147218413,2,0,The property ID specified is not valid. The application's configuration has been corrupted.  Reinstall the application.
313,-2147218412,2,0,"An invalid attribute was specified for this tag, or a required attribute is missing. The application's configuration was corrupted.  Reinstall the application."
314,-2147218411,2,0,The specified file name is invalid. This error is obsolete and should no longer be reported.  Call Microsoft Product Support.
315,-2147218410,2,0,A column having the specified property set and PID already exists. The application's configuration has been corrupted.  Reinstall the application.
316,-2147218409,2,0,"The configuration describing a language and sublanguage contains unexpected duplicate information. The application's configuration may be corrupted.  Though basic functionality is unlikely to be impacted, it is recommended that you reinstall the application."
317,-2147218174,2,0,The object you are trying to create already exists. Try again using a different name.
318,-2147218173,2,0,The registry value cannot be read because the configuration is invalid. Recreate the content index configuration by removing the content index.
319,-2147218172,2,0,"The value cannot be set, because the object was already deleted or was not initialized properly. Check that the object reference is still valid, increase the registry size, or recreate the content index configuration."
320,-2147218171,2,0,Performance monitoring cannot be initialized. This affects performance counters only. Try restarting the service or restarting the server.
321,-2147218170,2,0,The specified object cannot be found. Specify the name of an existing object.
322,-2147218166,2,0,"A duplicate index entry exists in the registry. No other indexes are affected, but it is recommended that the duplicate entry be deleted. "
323,-2147218165,2,0,"A duplicate extension entry exists in the registry. The duplicate extension should be deleted, but all other extensions are unaffected."
324,-2147218163,2,0,"The URL was already processed during this update. If you received this message while processing alerts, then the alerts are redundant, or else Modify should be used instead of Add."
325,-2147218162,2,0,The gatherer attempted to create more gatherer plug-in objects than are allowed. Remove another plug-in before adding this one.
326,-2147218161,2,0,"The function is not implemented in this context, and cannot be called.  This error is internal, and cannot normally occur. Reinstall the application."
327,-2147218160,2,0,The plug-in did not provide a filter sink object. You may have installed a custom plug-in that is not supported. 
328,-2147218159,2,0,"The filtering process ended and is now unavailable. The address will be retried, but it is possible that the system is low in resources. Free some system resources, or restart the update when resources are available."
329,-2147218158,2,0,"An unexpected message was received from the filtering process. The crawler will retry this item in the next crawl. If this occurs frequently, try freeing some system resources or closing some applications and restarting the crawl."
330,-2147218157,2,0,The filtering process returned an unsupported property type. Fix the filter to allow successful use of the document.
331,-2147218156,2,0,"The specified name for this object exceeds the maximum length, which is usually 2047 characters. Use a shorter name for the object."
332,-2147218155,2,0,The user agent or e-mail address was not specified. Specify the e-mail address to use in the protocol headers.
