WebUrl,ContentTypeName_original,ContentTypeName,ContentTypeParent,Description,Group,IncludedSiteColumns
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44041prt_s,DCTM moc_mw44041prt,DCTM Legacy Document,Documentum Legacy moc_mw44041prt_s document,DCTM Legacy, DCTM Pay Period
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44419chg_s,DCTM moc_mw44419chg,DCTM Legacy Document,Documentum Legacy moc_mw44419chg_s document,DCTM Legacy, DCTM Store Number; DCTM Social Security Number; DCTM Full Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44419new_s,DCTM moc_mw44419new,DCTM Legacy Document,Documentum Legacy moc_mw44419new_s document,DCTM Legacy, DCTM Store Number; DCTM Social Security Number; DCTM Full Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44419rat_s,DCTM moc_mw44419rat,DCTM Legacy Document,Documentum Legacy moc_mw44419rat_s document,DCTM Legacy, DCTM Store Number; DCTM Social Security Number; DCTM Full Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44419sep_s,DCTM moc_mw44419sep,DCTM Legacy Document,Documentum Legacy moc_mw44419sep_s document,DCTM Legacy, DCTM Social Security Number; DCTM Full Name; DCTM Store Number; DCTM Position
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44419trf_s,DCTM moc_mw44419trf,DCTM Legacy Document,Documentum Legacy moc_mw44419trf_s document,DCTM Legacy, DCTM New Group; DCTM Social Security Number; DCTM Full Name; DCTM Old Group
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw55004_s,DCTM moc_mw55004,DCTM Legacy Document,Documentum Legacy moc_mw55004_s document,DCTM Legacy, DCTM Store Number; DCTM Store Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_ogchecks_s,DCTM moc_ogchecks,DCTM Legacy Document,Documentum Legacy moc_ogchecks_s document,DCTM Legacy, DCTM Owner Number; DCTM Check Number; DCTM Last Name; DCTM First Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_oldafes_s,DCTM moc_oldafes,DCTM Legacy Document,Documentum Legacy moc_oldafes_s document,DCTM Legacy, DCTM AFE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p11015p_s,DCTM moc_p11015p,DCTM Legacy Document,Documentum Legacy moc_p11015p_s document,DCTM Legacy, DCTM Customer Number; DCTM Customer Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p11022_s,DCTM moc_p11022,DCTM Legacy Document,Documentum Legacy moc_p11022_s document,DCTM Legacy, DCTM Customer Number; DCTM Customer Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p12031_s,DCTM moc_p12031,DCTM Legacy Document,Documentum Legacy moc_p12031_s document,DCTM Legacy, DCTM Location Number; DCTM Reference Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p12082a_s,DCTM moc_p12082a,DCTM Legacy Document,Documentum Legacy moc_p12082a_s document,DCTM Legacy, DCTM spldat; DCTM Location Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p12082b_s,DCTM moc_p12082b,DCTM Legacy Document,Documentum Legacy moc_p12082b_s document,DCTM Legacy, DCTM spldat; DCTM Location Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13025_s,DCTM moc_p13025,DCTM Legacy Document,Documentum Legacy moc_p13025_s document,DCTM Legacy, DCTM Location Name; DCTM Location Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13031_s,DCTM moc_p13031,DCTM Legacy Document,Documentum Legacy moc_p13031_s document,DCTM Legacy, DCTM Store Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13033a_s,DCTM moc_p13033a,DCTM Legacy Document,Documentum Legacy moc_p13033a_s document,DCTM Legacy, DCTM trancode
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13033b_s,DCTM moc_p13033b,DCTM Legacy Document,Documentum Legacy moc_p13033b_s document,DCTM Legacy, DCTM trancode
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13033c_s,DCTM moc_p13033c,DCTM Legacy Document,Documentum Legacy moc_p13033c_s document,DCTM Legacy, DCTM transcode
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13038_s,DCTM moc_p13038,DCTM Legacy Document,Documentum Legacy moc_p13038_s document,DCTM Legacy, DCTM spldat; DCTM Store Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13039_s,DCTM moc_p13039,DCTM Legacy Document,Documentum Legacy moc_p13039_s document,DCTM Legacy, DCTM spldat; DCTM Store Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p14068wal_s,DCTM moc_p14068wal,DCTM Legacy Document,Documentum Legacy moc_p14068wal_s document,DCTM Legacy, DCTM Store Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15029b_s,DCTM moc_p15029b,DCTM Legacy Document,Documentum Legacy moc_p15029b_s document,DCTM Legacy, DCTM spldat; DCTM Bill Point
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15029p_s,DCTM moc_p15029p,DCTM Legacy Document,Documentum Legacy moc_p15029p_s document,DCTM Legacy, DCTM spldat; DCTM Region
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15029p2_s,DCTM moc_p15029p2,DCTM Legacy Document,Documentum Legacy moc_p15029p2_s document,DCTM Legacy, DCTM spldat; DCTM Location Number; DCTM Bill Point
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15063s_s,DCTM moc_p15063s,DCTM Legacy Document,Documentum Legacy moc_p15063s_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15065_s,DCTM moc_p15065,DCTM Legacy Document,Documentum Legacy moc_p15065_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15066_s,DCTM moc_p15066,DCTM Legacy Document,Documentum Legacy moc_p15066_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068a_s,DCTM moc_p15068a,DCTM Legacy Document,Documentum Legacy moc_p15068a_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068b_s,DCTM moc_p15068b,DCTM Legacy Document,Documentum Legacy moc_p15068b_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068c_s,DCTM moc_p15068c,DCTM Legacy Document,Documentum Legacy moc_p15068c_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068d_s,DCTM moc_p15068d,DCTM Legacy Document,Documentum Legacy moc_p15068d_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068e_s,DCTM moc_p15068e,DCTM Legacy Document,Documentum Legacy moc_p15068e_s document,DCTM Legacy, DCTM Date Run
